image_date,Soybean,Parcel-1_mean,Parcel-2_mean,Parcel-3_mean
2024-07-01,0.370333,0.371537,0.350458,0.384628
2024-07-13,0.472,0.494081,0.431077,0.416732
2024-07-25,0.521,0.514385,0.485809,0.475751
2024-08-06,0.495333,0.49809,0.477033,0.56
2024-08-18,0.535,0.422878,0.641039,0.72
2024-08-30,0.57,0.523535,0.650135,0.69
2024-09-11,0.633667,0.727164,0.776184,0.89
2024-09-23,0.633333,0.669388,0.843351,0.81
2024-10-05,0.697333,0.84298,1.014009,0.738554
2024-10-29,0.704667,0.554359,0.453885,0.70571
