lat,lon,validdate,precip_24h:mm
28.71,76.17,2022-08-01 00:00:00+00:00,4.31
28.71,76.17,2022-08-02 00:00:00+00:00,2.81
28.71,76.17,2022-08-03 00:00:00+00:00,3.11
28.71,76.17,2022-08-04 00:00:00+00:00,0.65
28.71,76.17,2022-08-05 00:00:00+00:00,0.55
28.71,76.17,2022-08-06 00:00:00+00:00,2.28
28.71,76.17,2022-08-07 00:00:00+00:00,6.95
28.71,76.17,2022-08-08 00:00:00+00:00,11.9
28.71,76.17,2022-08-09 00:00:00+00:00,0.0
28.71,76.17,2022-08-10 00:00:00+00:00,0.35
28.71,76.17,2022-08-11 00:00:00+00:00,0.0
28.71,76.17,2022-08-12 00:00:00+00:00,1.68
28.71,76.17,2022-08-13 00:00:00+00:00,0.4
28.71,76.17,2022-08-14 00:00:00+00:00,2.33
28.71,76.17,2022-08-15 00:00:00+00:00,0.48
28.71,76.17,2022-08-16 00:00:00+00:00,4.73
28.71,76.17,2022-08-17 00:00:00+00:00,3.4
28.71,76.17,2022-08-18 00:00:00+00:00,0.63
28.71,76.17,2022-08-19 00:00:00+00:00,0.32
28.71,76.17,2022-08-20 00:00:00+00:00,0.4
28.71,76.17,2022-08-21 00:00:00+00:00,0.16
28.71,76.17,2022-08-22 00:00:00+00:00,3.58
28.71,76.17,2022-08-23 00:00:00+00:00,1.93
28.71,76.17,2022-08-24 00:00:00+00:00,0.0
28.71,76.17,2022-08-25 00:00:00+00:00,0.0
28.71,76.17,2022-08-26 00:00:00+00:00,0.0
28.71,76.17,2022-08-27 00:00:00+00:00,0.3
28.71,76.17,2022-08-28 00:00:00+00:00,0.0
28.71,76.17,2022-08-29 00:00:00+00:00,0.0
28.71,76.17,2022-08-30 00:00:00+00:00,1.13
28.71,76.17,2022-08-31 00:00:00+00:00,0.0
28.71,76.17,2022-09-01 00:00:00+00:00,0.24
28.71,76.17,2022-09-02 00:00:00+00:00,0.0
28.71,76.17,2022-09-03 00:00:00+00:00,0.0
28.71,76.17,2022-09-04 00:00:00+00:00,0.0
28.71,76.17,2022-09-05 00:00:00+00:00,0.0
28.71,76.17,2022-09-06 00:00:00+00:00,0.0
28.71,76.17,2022-09-07 00:00:00+00:00,0.0
28.71,76.17,2022-09-08 00:00:00+00:00,0.0
28.71,76.17,2022-09-09 00:00:00+00:00,0.0
28.71,76.17,2022-09-10 00:00:00+00:00,0.0
28.71,76.17,2022-09-11 00:00:00+00:00,0.71
28.71,76.17,2022-09-12 00:00:00+00:00,0.82
28.71,76.17,2022-09-13 00:00:00+00:00,1.4
28.71,76.17,2022-09-14 00:00:00+00:00,0.39
28.71,76.17,2022-09-15 00:00:00+00:00,3.58
28.71,76.17,2022-09-16 00:00:00+00:00,2.04
28.71,76.17,2022-09-17 00:00:00+00:00,0.31
28.71,76.17,2022-09-18 00:00:00+00:00,0.0
28.71,76.17,2022-09-19 00:00:00+00:00,0.0
28.71,76.17,2022-09-20 00:00:00+00:00,0.0
28.71,76.17,2022-09-21 00:00:00+00:00,0.68
28.71,76.17,2022-09-22 00:00:00+00:00,8.13
28.71,76.17,2022-09-23 00:00:00+00:00,14.3
28.71,76.17,2022-09-24 00:00:00+00:00,45.51
28.71,76.17,2022-09-25 00:00:00+00:00,14.19
28.71,76.17,2022-09-26 00:00:00+00:00,0.16
28.71,76.17,2022-09-27 00:00:00+00:00,0.4
28.71,76.17,2022-09-28 00:00:00+00:00,0.0
28.71,76.17,2022-09-29 00:00:00+00:00,0.0
28.71,76.17,2022-09-30 00:00:00+00:00,0.0
